trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
2,20,50,1,5,64.8345,-80.8964,1,1,16.1694,1,1,16.1694,1,1
2,20,50,1,6,-17.6474,-23.019,1,6,14.4465,1,6,14.4465,1,1
2,20,50,1,7,29.5174,-176.839,1,14,11.9715,1,14,11.9715,1,1
2,20,50,1,8,18.7379,95.7842,2,19,32.515,1,19,32.515,1,1
2,20,50,1,9,14.8997,-60.4633,1,11,19.8037,1,11,19.8037,1,1
2,20,50,1,10,51.4821,25.6043,2,1,54.1128,1,1,54.1128,1,1
2,20,50,1,11,-42.7206,-94.8636,1,2,42.3281,1,2,42.3281,1,1
2,20,50,1,12,1.61134,-17.3261,1,11,25.5573,1,11,25.5573,1,1
2,20,50,1,13,45.0846,111.887,2,3,39.5802,1,3,39.5802,1,1
2,20,50,1,14,-2.50463,-92.7013,1,12,34.2864,1,12,34.2864,1,1
2,20,50,1,15,0.938698,25.6875,2,19,44.3661,1,19,44.3661,1,1
2,20,50,1,16,69.075,-106.946,1,1,12.9197,1,1,12.9197,1,1
2,20,50,1,17,86.4304,162.592,2,15,1.51889,1,15,1.51889,1,1
2,20,50,1,18,79.6808,-106.569,1,1,3.53435,1,1,3.53435,1,1
2,20,50,1,19,49.3566,69.0831,2,15,49.6636,1,15,49.6636,1,1
2,20,50,1,20,17.9683,48.3823,2,19,28.8748,1,19,28.8748,1,1
2,20,50,1,21,84.0934,-179.358,1,1,12.4809,1,1,12.4809,1,1
2,20,50,1,22,-77.3184,47.2216,2,13,7.92301,1,13,7.92301,1,1
2,20,50,1,23,-88.0988,62.8391,2,7,7.03512,1,7,7.03512,1,1
2,20,50,1,24,-18.4971,33.6019,2,19,39.6934,1,19,39.6934,1,1
2,20,50,1,25,-88.8121,-114.03,1,2,12.4919,1,2,12.4919,1,1
2,20,50,1,26,-60.3969,-83.0652,1,2,21.7527,1,2,21.7527,1,1
2,20,50,1,27,-14.4468,62.4289,2,19,15.0128,1,19,15.0128,1,1
2,20,50,1,28,39.8043,-118.724,1,12,20.5877,1,12,20.5877,1,1
2,20,50,1,29,-2.84203,-105.401,1,12,26.1147,1,12,26.1147,1,1
2,20,50,1,30,-15.7129,176.193,2,16,19.3795,1,16,19.3795,1,1
2,20,50,1,31,50.1434,-73.2756,1,1,31.2773,1,1,31.2773,1,1
2,20,50,1,32,-55.3765,93.1477,2,7,28.0221,1,7,28.0221,1,1
2,20,50,1,33,-45.342,-131.391,1,9,25.4849,1,9,25.4849,1,1
2,20,50,1,34,83.2894,-171.971,1,1,11.9347,1,1,11.9347,1,1
2,20,50,1,35,58.8459,22.5153,2,1,43.6342,1,1,43.6342,1,1
2,20,50,1,36,28.2057,105.879,2,19,45.7987,1,19,45.7987,1,1
2,20,50,1,37,11.5785,81.7747,2,19,17.5255,1,19,17.5255,1,1
2,20,50,1,38,-13.4499,26.9595,2,19,44.3276,1,19,44.3276,1,1
2,20,50,1,39,-17.6931,116.106,2,16,41.3413,1,16,41.3413,1,1
2,20,50,1,40,-59.7193,-33.0103,1,0,7.60432,1,0,7.60432,1,1
2,20,50,1,41,-88.962,-60.2324,1,2,10.4643,1,2,10.4643,1,1
2,20,50,1,42,31.9622,-26.8177,1,11,22.0073,1,11,22.0073,1,1
2,20,50,1,43,-88.9017,-36.4669,1,2,10.4215,1,2,10.4215,1,1
2,20,50,1,44,17.2289,-3.48749,1,11,35.4412,1,11,35.4412,1,1
2,20,50,1,45,19.0663,-176.968,1,10,14.3983,1,10,14.3983,1,1
2,20,50,1,46,-3.64707,-41.5806,1,11,17.3685,1,11,17.3685,1,1
2,20,50,1,47,-35.1217,61.9529,2,19,34.5402,1,19,34.5402,1,1
2,20,50,1,48,-64.2164,19.0725,2,13,7.93599,1,13,7.93599,1,1
2,20,50,1,49,55.2808,-141.854,1,8,23.9989,1,8,23.9989,1,1
3,20,50,1,0,35.3593,-52.0087,1,4,20.0744,1,4,20.0744,1,1
3,20,50,1,1,48.6048,-12.3903,1,10,7.05746,1,10,7.05746,1,1
3,20,50,1,2,-83.2974,-151.684,1,15,9.72107,1,15,9.72107,1,1
3,20,50,1,3,74.2126,-127.999,1,18,17.2272,1,18,17.2272,1,1
3,20,50,1,4,-19.1901,92.7738,2,16,1.64676,1,16,1.64676,1,1
3,20,50,1,5,62.5277,-108.564,1,18,28.0802,1,18,28.0802,1,1
3,20,50,1,6,-52.3726,21.1416,2,7,34.3446,1,16,66.5448,1.93756,0
3,20,50,1,7,-3.0213,-163.845,1,12,64.1127,1,12,64.1127,1,1
3,20,50,1,8,13.4922,-21.5679,1,10,41.5509,1,10,41.5509,1,1
3,20,50,1,9,-85.6885,-128.1,1,15,10.9952,1,15,10.9952,1,1
3,20,50,1,10,-53.2659,-140.763,1,15,22.1487,1,15,22.1487,1,1
3,20,50,1,11,-38.0418,36.7577,2,7,45.2607,1,16,51.9233,1.14721,0
3,20,50,1,12,65.2556,59.4461,2,9,6.76818,1,9,6.76818,1,1
3,20,50,1,13,-12.9105,125.604,2,17,12.1574,1,17,12.1574,1,1
3,20,50,1,14,-89.8683,-141.168,1,15,15.278,1,15,15.278,1,1
3,20,50,1,15,25.7372,70.9821,2,6,23.1386,1,6,23.1386,1,1
3,20,50,1,16,-6.58816,-31.3159,1,7,30.0863,1,7,30.0863,1,1
3,20,50,1,17,-60.7041,0.228851,1,8,29.2964,1,8,29.2964,1,1
3,20,50,1,18,-1.49973,-152.983,1,2,57.4995,1,2,57.4995,1,1
3,20,50,1,19,26.1151,138.62,2,5,29.1798,1,5,29.1798,1,1
3,20,50,1,20,59.8954,-2.71443,1,10,9.40686,1,10,9.40686,1,1
3,20,50,1,21,-74.972,-164.954,1,15,9.6771,1,15,9.6771,1,1
3,20,50,1,22,-80.7864,24.0134,2,8,24.5084,1,16,76.1597,3.10749,0
3,20,50,1,23,-74.3994,45.4116,2,8,33.8198,1,16,64.3592,1.90301,0
3,20,50,1,24,-88.7773,-140.176,1,15,14.1926,1,15,14.1926,1,1
3,20,50,1,25,48.6556,-104.086,1,1,19.2405,1,1,19.2405,1,1
3,20,50,1,26,-50.4696,-158.772,1,15,28.0678,1,15,28.0678,1,1
3,20,50,1,27,56.3357,-150.428,1,12,13.0992,1,12,13.0992,1,1
3,20,50,1,28,40.3368,-93.1495,1,1,10.3701,1,1,10.3701,1,1
3,20,50,1,29,77.5879,80.9371,2,3,9.4188,1,3,9.4188,1,1
3,20,50,1,30,-27.1586,26.6503,2,7,40.0381,1,0,46.0151,1.14928,0
3,20,50,1,31,-14.0404,112.507,2,17,9.43228,1,17,9.43228,1,1
3,20,50,1,32,87.6672,30.511,2,18,3.74729,1,3,9.58932,2.559,0
3,20,50,1,33,-33.6323,-7.66504,1,7,9.58032,1,7,9.58032,1,1
3,20,50,1,34,28.764,164.966,2,5,6.22673,1,5,6.22673,1,1
3,20,50,1,35,-24.5223,-2.68109,1,7,17.4607,1,7,17.4607,1,1
3,20,50,1,36,-8.87444,-18.9887,1,7,25.5728,1,7,25.5728,1,1
3,20,50,1,37,6.18233,0.678299,1,7,44.9636,1,7,44.9636,1,1
3,20,50,1,38,-87.4876,43.5658,2,8,26.775,1,16,74.8776,2.79655,0
3,20,50,1,39,-66.9551,-172.53,1,15,16.5523,1,15,16.5523,1,1
3,20,50,1,40,41.695,143.401,2,5,24.5463,1,5,24.5463,1,1
3,20,50,1,41,-48.3081,162.451,2,17,45.0702,1,17,45.0702,1,1
3,20,50,1,42,82.3143,-163.945,1,18,10.6337,1,18,10.6337,1,1
3,20,50,1,43,-83.9887,65.3022,2,8,31.824,1,16,67.6234,2.12492,0
3,20,50,1,44,-38.5471,167.199,2,17,45.9315,1,17,45.9315,1,1
3,20,50,1,45,-16.8803,48.5886,2,0,30.433,1,0,30.433,1,1
