trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received
3,100,50,4,22,-19.1801,139.039,68,5.30906,68,5.30906,1,1,5
3,100,50,4,23,26.7319,22.4381,61,3.13777,61,3.13777,1,1,4
3,100,50,4,24,67.458,30.2715,38,7.04651,38,7.04651,1,1,6
3,100,50,4,25,22.2447,-130.069,36,17.1812,36,17.1812,1,1,5
3,100,50,4,26,-26.6992,130.714,37,3.86808,37,3.86808,1,1,4
3,100,50,4,27,46.2728,77.9016,71,17.5689,71,17.5689,1,1,9
3,100,50,4,28,-47.8239,-51.7122,21,4.8486,21,4.8486,1,1,4
3,100,50,4,29,-84.5581,7.34927,48,6.46031,48,6.46031,1,1,2
3,100,50,4,30,76.9046,12.0899,79,10.2555,79,10.2555,1,1,9
3,100,50,4,31,-18.6416,-83.2141,2,19.8786,2,19.8786,1,1,2
3,100,50,4,32,-71.9281,-176.637,56,7.28344,56,7.28344,1,1,3
3,100,50,4,33,-84.2443,-71.8779,77,5.06616,77,5.06616,1,1,2
3,100,50,4,34,-87.5752,110.527,48,0.867195,48,0.867195,1,1,2
3,100,50,4,35,55.4908,-170.405,47,6.87701,47,6.87701,1,1,9
3,100,50,4,36,-37.5498,-178.713,14,1.53725,14,1.53725,1,1,3
3,100,50,4,37,80.883,66.5403,79,5.72489,79,5.72489,1,1,10
3,100,50,4,38,70.163,35.2297,38,3.89642,38,3.89642,1,1,6
3,100,50,4,39,-45.5108,95.242,22,14.9399,22,14.9399,1,1,5
3,100,50,4,40,-57.2494,133.468,52,10.6032,52,10.6032,1,1,6
3,100,50,4,41,72.5864,12.1028,38,10.2818,38,10.2818,1,1,8
3,100,50,4,42,42.0907,57.7185,71,22.5778,71,22.5778,1,1,8
3,100,50,4,43,-44.9978,168.534,97,21.4524,97,21.4524,1,1,5
3,100,50,4,44,-86.9968,-79.1119,0,3.39895,0,3.39895,1,1,1
3,100,50,4,45,-2.05855,159.816,72,3.73086,72,3.73086,1,1,6
3,100,50,4,46,56.489,138.6,85,3.49081,85,3.49081,1,1,6
3,100,50,4,47,-51.6993,149.122,19,13.7841,19,13.7841,1,1,5
3,100,50,4,48,70.9813,-91.8873,94,3.6423,94,3.6423,1,1,9
3,100,50,4,49,-51.3781,146.812,19,12.3639,19,12.3639,1,1,5
4,100,50,4,0,-29.2654,154.384,77,15.3902,77,15.3902,1,1,5
4,100,50,4,1,-48.8541,0.136765,66,4.7311,66,4.7311,1,1,7
4,100,50,4,2,-45.1099,-118.898,47,11.5102,47,11.5102,1,1,4
4,100,50,4,3,-35.0655,111.197,38,14.2662,38,14.2662,1,1,4
4,100,50,4,4,-37.6421,-133.691,69,9.16091,69,9.16091,1,1,6
4,100,50,4,5,-24.5026,-102.074,53,14.4187,53,14.4187,1,1,4
4,100,50,4,6,57.8772,171.92,92,16.545,92,16.545,1,1,6
4,100,50,4,7,43.7529,84.5792,78,15.5961,78,15.5961,1,1,4
4,100,50,4,8,81.2212,-91.8362,81,5.26236,81,5.26236,1,1,3
4,100,50,4,9,-10.9374,77.0021,33,6.20852,33,6.20852,1,1,7
4,100,50,4,10,-65.4084,-121.427,97,3.94927,97,3.94927,1,1,4
4,100,50,4,11,9.6677,-28.1683,63,22.5917,63,22.5917,1,1,7
4,100,50,4,12,65.8171,62.2821,29,7.93539,29,7.93539,1,1,6
4,100,50,4,13,18.2993,47.1459,26,8.94058,26,8.94058,1,1,5
4,100,50,4,14,-48.5102,-147.213,47,8.79129,47,8.79129,1,1,3
4,100,50,4,15,81.9091,24.4487,21,6.12068,21,6.12068,1,1,3
4,100,50,4,16,-86.4145,-113.89,28,4.97753,28,4.97753,1,1,2
4,100,50,4,17,-77.7073,-83.0488,28,8.57116,28,8.57116,1,1,2
4,100,50,4,18,-26.3942,-45.5456,70,3.35897,70,3.35897,1,1,7
4,100,50,4,19,-75.9261,51.9274,17,6.82968,17,6.82968,1,1,5
4,100,50,4,20,0.381638,-20.8574,63,16.4104,63,16.4104,1,1,7
4,100,50,4,21,64.9266,-63.4824,9,10.2237,9,10.2237,1,1,3
4,100,50,4,22,-14.4686,37.359,62,14.0235,62,14.0235,1,1,8
4,100,50,4,23,-79.4516,-46.4948,80,3.75507,80,3.75507,1,1,4
4,100,50,4,24,62.7614,-0.778046,32,8.91519,32,8.91519,1,1,3
4,100,50,4,25,-74.7464,174.706,35,8.02537,35,8.02537,1,1,5
4,100,50,4,26,28.8974,49.8427,5,8.5997,5,8.5997,1,1,3
4,100,50,4,27,-16.7311,9.42891,68,10.3941,68,10.3941,1,1,10
4,100,50,4,28,-33.9376,-176.864,79,14.5122,79,14.5122,1,1,4
4,100,50,4,29,-61.7126,15.1044,6,7.23158,6,7.23158,1,1,3
4,100,50,4,30,-72.0381,-139.607,67,5.63204,67,5.63204,1,1,2
4,100,50,4,31,-70.2235,-136.905,67,6.41342,67,6.41342,1,1,2
4,100,50,4,32,-36.7486,-115.862,57,15.4707,57,15.4707,1,1,6
4,100,50,4,33,-19.9769,53.7143,31,24.0572,31,24.0572,1,1,8
4,100,50,4,34,9.29642,-11.806,91,23.4922,91,23.4922,1,1,11
4,100,50,4,35,-37.1791,-160.644,36,17.855,36,17.855,1,1,4
4,100,50,4,36,73.6683,-124.505,22,3.58196,22,3.58196,1,1,4
4,100,50,4,37,-22.0632,-61.6006,20,5.11217,20,5.11217,1,1,3
4,100,50,4,38,46.427,-23.0296,32,24.2356,32,24.2356,1,1,4
4,100,50,4,39,35.9523,38.3767,5,17.308,5,17.308,1,1,3
4,100,50,4,40,78.0962,102.412,87,1.93708,87,1.93708,1,1,5
4,100,50,4,41,16.5414,33.9872,26,6.88319,26,6.88319,1,1,4
4,100,50,4,42,-13.8727,179.621,77,13.8979,77,13.8979,1,1,8
4,100,50,4,43,-68.292,84.3794,17,11.4611,17,11.4611,1,1,4
4,100,50,4,44,-88.6215,-80.0091,28,4.09672,28,4.09672,1,1,3
4,100,50,4,45,-40.2581,-141.319,47,11.4648,47,11.4648,1,1,4
4,100,50,4,46,-19.8081,-40.9633,70,8.03048,70,8.03048,1,1,8
4,100,50,4,47,-49.1121,66.8866,96,11.3454,96,11.3454,1,1,5
4,100,50,4,48,11.5876,41.8218,26,2.19071,26,2.19071,1,1,5
4,100,50,4,49,-29.6995,-138.232,69,4.53756,69,4.53756,1,1,5
