trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
23,12,30,42,65,1,11,19,19,1,0.362433,closer
23,12,33,42,65,1,19,5,-1,0,-1,farther
23,12,39,42,65,1,0,19,19,1,0.363195,closer
23,12,42,42,65,1,17,19,19,1,0.363905,closer
23,12,44,42,65,1,17,19,19,1,0.364887,closer
23,13,3,42,65,1,3,18,-1,0,-1,farther
23,13,37,42,65,1,14,3,3,1,0.353342,closer
23,14,5,42,65,1,19,12,12,1,1.10559,closer
23,14,13,42,65,1,12,0,-1,0,-1,farther
23,14,29,42,65,1,12,5,-1,0,-1,farther
23,14,39,42,65,1,19,12,12,1,1.10801,closer
23,15,19,42,65,1,1,3,-1,0,-1,farther
23,16,0,42,65,1,18,2,2,1,0.184161,closer
23,16,4,42,65,1,2,5,-1,0,-1,farther
23,16,22,42,65,1,11,2,2,1,0.185563,closer
23,16,30,42,65,1,19,2,2,1,0.186554,closer
23,16,42,42,65,1,19,2,2,1,0.187285,closer
23,16,43,42,65,1,2,10,-1,0,-1,farther
23,16,45,42,65,1,2,5,-1,0,-1,farther
23,16,48,42,65,1,11,2,2,1,0.188316,closer
23,17,0,42,65,1,2,2,-1,0,-1,farther
23,17,4,42,65,1,2,5,-1,0,-1,farther
23,17,22,42,65,1,2,19,-1,0,-1,farther
23,17,29,42,65,1,12,2,2,1,0.169301,closer
23,17,30,42,65,1,2,19,-1,0,-1,farther
23,17,38,42,65,1,5,2,2,1,0.170352,closer
23,17,42,42,65,1,2,19,-1,0,-1,farther
23,17,43,42,65,1,2,10,-1,0,-1,farther
23,17,45,42,65,1,2,5,-1,0,-1,farther
23,17,48,42,65,1,2,19,-1,0,-1,farther
23,18,15,42,65,1,4,0,-1,0,-1,farther
23,19,1,42,65,1,9,1,-1,0,-1,farther
23,19,35,42,65,1,9,17,-1,0,-1,farther
23,19,47,42,65,1,9,17,-1,0,-1,farther
24,0,8,42,66,1,16,1,-1,0,-1,farther
24,0,22,42,66,1,16,1,-1,0,-1,farther
24,1,1,42,66,1,3,14,-1,0,-1,farther
24,1,14,42,66,1,3,12,-1,0,-1,farther
24,1,32,42,66,1,19,3,3,1,0.478843,closer
24,1,43,42,66,1,3,12,-1,0,-1,farther
24,2,5,42,66,1,8,6,-1,0,-1,farther
24,2,9,42,66,1,8,6,-1,0,-1,farther
24,2,16,42,66,1,6,8,8,1,0.383854,closer
24,2,20,42,66,1,10,8,8,1,0.60825,closer
24,3,3,42,66,1,13,17,-1,0,-1,farther
24,3,21,42,66,1,13,17,-1,0,-1,farther
24,3,23,42,66,1,12,13,13,1,0.187345,closer
24,3,34,42,66,1,12,13,13,1,0.209575,closer
24,3,48,42,66,1,18,13,13,1,0.230574,closer
24,4,23,42,66,1,13,18,18,1,0.202987,closer
24,5,11,42,66,1,17,3,-1,0,-1,farther
