seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,1,43,20,50,2,40,60.5691,175.859,2,5,12.1062,1,5,12.1062,1,1
42,1,43,20,50,2,41,30.0151,-140.934,1,6,24.7242,1,6,24.7242,1,1
42,1,43,20,50,2,42,71.1429,-95.5321,1,15,5.57879,1,8,27.8696,4.99564,0
42,1,43,20,50,2,43,-67.6222,-61.2966,1,16,7.07681,1,0,53.423,7.54902,0
42,1,43,20,50,2,44,42.2082,-96.2121,1,6,13.089,1,6,13.089,1,1
42,1,43,20,50,2,45,56.2673,33.0666,2,4,37.7709,1,4,37.7709,1,1
42,1,43,20,50,2,46,-20.2764,-9.21719,1,18,16.7353,1,4,62.5445,3.73729,0
42,1,43,20,50,2,47,-71.1092,-12.2545,1,10,11.2583,1,2,67.907,6.03174,0
42,1,43,20,50,2,48,-60.2726,92.7812,2,7,13.7714,1,2,35.2704,2.56114,0
42,1,43,20,50,2,49,-10.6254,-16.0822,1,18,27.7387,1,4,62.8592,2.26612,0
42,2,44,20,50,2,0,61.3555,-86.4684,1,19,19.7737,1,1,39.7878,2.01216,0
42,2,44,20,50,2,1,83.4998,165.194,2,15,7.6857,1,3,19.178,2.49528,0
42,2,44,20,50,2,2,89.5522,16.8438,2,15,1.16457,1,3,41.5047,35.6396,0
42,2,44,20,50,2,3,-65.6292,-21.2969,1,13,10.2322,1,12,20.863,2.03895,0
42,2,44,20,50,2,4,-68.7368,29.489,2,13,10.6319,1,6,20.3292,1.9121,0
42,2,44,20,50,2,5,1.12473,-95.3028,1,4,23.42,1,4,23.42,1,1
42,2,44,20,50,2,6,72.5701,-48.7066,1,19,5.02264,1,1,53.9982,10.751,0
42,2,44,20,50,2,7,87.3975,154.171,2,15,2.76141,1,3,23.1589,8.38661,0
42,2,44,20,50,2,8,67.8373,-136.213,1,1,18.5923,1,1,18.5923,1,1
42,2,44,20,50,2,9,-11.1955,128.212,2,6,66.1899,1,6,66.1899,1,1
42,2,44,20,50,2,10,-32.472,-24.7125,1,13,37.8465,1,5,50.0475,1.32238,0
